category_level1,category_level2
Groceries,Food
Credit Card Payment,
Buy,
Dividend & Cap Gains,
Fast Food,Food
Bank Fee,
Restaurants,Food
Cash & ATM,
Investments,
Television,
Gas & Fuel,
Hotel,
Income,
Coffee Shops,Food
Transfer,
Pharmacy,
Auto & Transport,
Uncategorized,
Service Fee,
Entertainment,
Shopping,
Parking,
Food & Dining,Food
Finance Charge,
Gym,
Ride Share,
Interest Income,
Arts,
Clothing,
Books,
Business Services,
Movies & DVDs,
Alcohol & Bars,
Mortgage & Rent,
Utilities,
Sporting Goods,
Electronics & Software,
Personal Care,
Pet Food & Supplies,
Veterinary,
Home Phone,
Trade Commissions,
Doctor,
Internet,
Vacation,
Auto Insurance,
Air Travel,
Shipping,
Life Insurance,
Deposit,
Federal Tax,
State Tax,
Auto Payment,
Service & Parts,
Misc Expenses,
Charity,
Fees & Charges,
Education,
Home Insurance,
Public Transportation,
Rental Car & Taxi,
Food Delivery,Food
Check,
Legal,
Paycheck,
Gift,
Advertising,
Hair,
Sports,
Sell,
Travel,
Taxes,
Furnishings,
Gifts & Donations,
Spa & Massage,
Returned Purchase,
Bonus,
Eyecare,
Pets,
Tuition,
Home Services,
Kids Activities,
Hobbies,
Office Supplies,
Babysitter & Daycare,
Mobile Phone,
