Cols_in_key,number_of_cols_in_keu,uniq_recs_on_key,file_total_rows,is_primary
"Income,MntWines,Dt_Customer,MntMeatProducts,Recency",5,2035,2240,no
"Income,MntMeatProducts,Recency",3,2035,2240,no
"Income,Dt_Customer,MntMeatProducts,Recency",4,2035,2240,no
"Income,MntWines,MntMeatProducts,Recency",4,2035,2240,no
"Income,MntWines,Dt_Customer,Recency",4,2035,2240,no
"Income,MntWines,Recency",3,2035,2240,no
"Income,MntWines,Dt_Customer,MntMeatProducts",4,2033,2240,no
"Income,MntWines,MntMeatProducts",3,2033,2240,no
"MntWines,Dt_Customer,MntMeatProducts,Recency",4,2031,2240,no
"MntWines,Dt_Customer,Recency",3,2031,2240,no
"Dt_Customer,MntMeatProducts,Recency",3,2031,2240,no
"Income,Dt_Customer,Recency",3,2031,2240,no
"MntWines,MntMeatProducts,Recency",3,2028,2240,no
"MntWines,Dt_Customer,MntMeatProducts",3,2026,2240,no
"Income,Recency",2,2024,2240,no
"Income,MntWines,Dt_Customer",3,2012,2240,no
"Dt_Customer,Recency",2,1995,2240,no
"Income,MntWines",2,1993,2240,no
"Income,Dt_Customer,MntMeatProducts",3,1985,2240,no
"MntWines,Recency",2,1972,2240,no
"Income,MntMeatProducts",2,1965,2240,no
"MntWines,Dt_Customer",2,1962,2240,no
"MntMeatProducts,Recency",2,1929,2240,no
"Dt_Customer,MntMeatProducts",2,1924,2240,no
"Income,Dt_Customer",2,1860,2240,no
"MntWines,MntMeatProducts",2,1843,2240,no
